Artist,Song,Key,BPM,Camelot,Popularity,Energy,Danceability,Hapiness
Bush,Comedown - Remastered,B Minor,140,10A,70,80,47,38
Bush,Little Things - Remastered,G Major,113,9B,60,94,35,23
Caamp,Vagabond,E Major,142,12B,68,40,57,61
Caamp,All the Debts I Owe,C Major,93,8B,66,48,46,47
Cage The Elephant,Ready To Let Go,C# Major,101,3B,64,90,72,75
Cage The Elephant,Come a Little Closer,C# Minor,148,12A,76,78,44,30
CAKE,Wheels,E Minor,161,9A,48,48,70,96
CAKE,Long Line of Cars,B Major,100,1B,47,53,73,90
CAKE,War Pigs,F Minor,84,4A,54,57,58,45
Calboy,Envy Me,C# Minor,149,12A,64,49,74,58
Caleb Hearn,"Brown Eyes, Brown Hair",D Major,184,10B,53,49,39,31
Call Me Karizma,Monster (Under My Bed),D Major,145,10B,48,60,67,24
Calvin Harris,Feel So Close - Radio Edit,G Major,128,9B,87,92,71,92
"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),B Minor,100,10A,56,70,82,76
"Cam Steady, Fabvl",BLOW UP!,C# Major,95,3B,43,67,69,38
Camidoh,Sugarcane,A♭ Major,202,4B,49,71,52,52
Camila Cabello,Never Be the Same,C Major,130,8B,82,71,64,24
"Camila Cabello, DaBaby",My Oh My (feat. DaBaby),A♭ Major,105,4B,76,49,72,38
Camilo,Favorito,A Major,178,11B,71,85,61,82
Candlebox,Far Behind,G Major,90,9B,73,65,55,59
Capital Cities,Safe and Sound,C Major,118,8B,87,82,66,77
Capital Cities,Kangaroo Court,F Minor,100,4A,70,58,76,98
Cardi B,Up,B Major,166,1B,72,80,87,82
Cardi B,Like What (Freestyle),B Minor,115,10A,61,69,95,71
"Cardi B, Bruno Mars",Please Me,C# Major,134,3B,80,57,75,65
Carlie Hanson,Only One,A♭ Major,123,4B,45,49,77,70
Carlos Rafael Rivera,Beth's Story,C Minor,139,5A,56,3,31,8
Carly Rae Jepsen,Call Me Maybe,G Major,120,9B,84,58,78,66
Carolina Liar,I'm Not Over,B Major,131,1B,48,90,53,48
Carrie Underwood,Before He Cheats,F# Minor,148,11A,79,75,52,29
Cascada,Everytime We Touch,A♭ Major,142,4B,55,98,63,45
"CashMoneyAP, NoCap, Polo G",No Patience (feat. Polo G & NoCap),C Major,160,8B,45,76,74,30
Cass Elliot,Make Your Own Kind Of Music,E Major,121,12B,69,56,53,70
Cavetown,Devil Town,E♭ Major,100,5B,74,76,58,50
Celeste,Strange,D Major,71,10B,74,8,29,11
Central Cee,Obsessed With You,E♭ Major,143,5B,70,83,75,90
Central Cee,Doja,F# Major,140,2B,80,57,91,97
Chance Peña,Bleeding Out,A Minor,121,8A,66,44,59,35
Charles Wesley Godwin,Hardwood Floors,D Major,135,10B,63,63,35,39
Charli xcx,Boom Clap,E Major,92,12B,60,91,66,58
"Charli xcx, Billie Eilish",Guess featuring billie eilish,C Major,130,8B,87,71,78,62
Charlie Puth,I Don’t Think That I Like Her,A♭ Minor,186,1A,61,55,59,71
Charlie Puth,The Way I Am,B♭ Minor,115,3A,62,77,76,64
Chase Atlantic,OHMAMI,B♭ Minor,126,3A,67,70,58,47
Chasing Mirrors,Hokage's Funeral,A Minor,75,8A,44,22,32,11
"Chavo, Coi Leray",American Deli,F# Minor,94,11A,16,58,44,10
Che,agenda,C Minor,73,5A,62,45,52,42
"Cheat Codes, Demi Lovato",No Promises (feat. Demi Lovato),B♭ Major,113,6B,68,67,74,60
Cher,Believe,F# Major,133,2B,83,92,65,46
Chevelle,Send the Pain Below,B Major,92,1B,73,85,47,29
"Chico Rose, 71 Digits",Somebody's Watching Me,C# Minor,125,12A,70,86,71,21
"Chills, CORPSE",Siren Head,D Major,140,10B,50,66,81,67
Chilly Gonzales,Foule sentimentale,D Minor,205,7A,47,9,31,54
Chingy,Right Thurr,D Major,92,10B,74,75,87,89
Chlöe,Have Mercy,A Major,130,11B,67,54,90,51
Chris Brown,Indigo,E♭ Minor,152,2A,62,75,60,53
Chris Stapleton,Starting Over,B♭ Major,89,6B,81,54,64,32
Chris Stapleton,Think I'm In Love With You,F# Minor,92,11A,82,42,67,61
Chris Stapleton,White Horse,C# Minor,145,12A,80,77,35,22
Chris Stapleton,Joy Of My Life,E♭ Major,149,5B,76,49,63,40
Chris Wallace,Keep Me Crazy,D Major,93,10B,23,87,66,64
Chris Young,I'm Comin' Over,B♭ Major,128,6B,69,85,57,38
Christina Aguilera,Fighter,E Minor,189,9A,67,92,44,45
Christina Perri,jar of hearts,E♭ Major,75,5B,77,35,35,9
Chuck Berry,Johnny B. Goode,B♭ Major,168,6B,77,80,53,97
CHVRCHES,Clearest Blue,C# Major,123,3B,49,83,65,16
"Ciara, Chris Brown",How We Roll,A♭ Minor,96,1A,63,64,77,33
"Ciara, Petey Pablo",Goodies (feat. Petey Pablo),F Minor,204,4A,70,70,65,88
Circa Waves,T-Shirt Weather,E Major,160,12B,65,95,42,47
CJ,Whoopty,E♭ Minor,140,2A,68,65,72,66
Clairo,Flaming Hot Cheetos,G Minor,110,6A,77,55,82,14
Clairo,4EVER,A Minor,102,8A,79,59,75,58
Clairo,Bubble Gum,A Major,208,11B,78,2,51,23
ClariS,STEP,G Major,146,9B,39,83,57,70
Clem Leek,The Theory,A Minor,69,8A,34,4,45,6
Clint Mansell,Leaving Earth,E Minor,39,9A,50,29,28,8
Coalo Zamorano,Canto de tu amor,G Major,119,9B,25,25,45,17
Coconut Records,West Coast,B♭ Major,80,6B,57,60,53,35
Cody Johnson,The Fall,E♭ Major,79,5B,67,54,35,18
Cody Johnson,Wild as You,B Major,150,1B,70,65,46,49
Cody Johnson,Diamond In My Pocket,G Major,152,9B,72,84,55,72
Cody Johnson,Half a Song,D Major,99,10B,70,70,65,67
