Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Men In Black - From  Men In Black  Soundtrack,Will Smith,67,108,,,03:47,80,58,10,0,66,0,10,-8,F minor,4,4A,Will Smith,Men In Black
Heaven and Hell,James Marsh,6,120,,,04:26,54,92,0,16,82,0,30,-6,A minor,4,8A,James Marsh,Heaven and Hell
Under the Bridge,Red Hot Chili Peppers,86,85,"funk rock, alternative rock, rock","Rock, R&B",04:24,56,35,6,0,46,0,10,-13,E,4,12B,Red Hot Chili Peppers,Under the Bridge
Burnin‘ Slow,Asiq,11,138,,,02:43,75,53,1,0,27,0,10,-10,B,4,1B,Asiq,Burnin‘ Slow
Quit Playing Games (With My Heart),Backstreet Boys,73,100,,,03:52,80,83,6,0,90,0,10,-7,B minor,4,10A,Backstreet Boys,Quit Playing Games (With My Heart)
Jump,Kris Kross,70,102,,,03:15,75,75,0,0,48,10,30,-11,D,4,10B,Kris Kross,Jump
I Believe I Can Fly,R. Kelly,62,120,r&b,R&B,05:20,55,44,24,0,4,0,10,-8,G,4,9B,R. Kelly,I Believe I Can Fly
Legacy,"Juice of Canada,Yvng Chriis",15,130,"alté, afro soul, afrobeats","R&B, Traditional Music, Electronic, Hip Hop",01:58,82,60,55,0,86,0,10,-10,C minor,4,5A,Juice of Canada,Legacy
When a Man Loves a Woman,Michael Bolton,71,165,soft rock,Rock,03:51,48,36,20,0,24,0,0,-11,C♯/D♭,3,3B,Michael Bolton,When a Man Loves a Woman
Pancakes,Olga Neff,23,126,,,03:33,82,45,51,6,53,0,10,-13,E,4,12B,Olga Neff,Pancakes
Composer's Desire,ShayDream,22,138,,,03:50,30,56,47,14,17,0,10,-12,C,4,8B,ShayDream,Composer's Desire
Don't You (Forget About Me) - Remastered 2001,Simple Minds,60,111,new wave,"Pop, Rock",04:22,68,84,9,2,68,0,30,-5,D,4,10B,Simple Minds,Don't You (Forget About Me)
Too Long,Skye,12,141,,,03:40,54,16,87,0,24,0,10,-15,D,4,10B,Skye,Too Long
Designer DRVG - Demo,Q-Rhyus,12,140,,,02:58,43,68,0,0,8,0,20,-7,D,4,10B,Q-Rhyus,Designer DRVG
Like A Warrior,Ana Gracey,2,130,,,03:21,55,70,8,0,30,0,10,-9,D#/E♭,4,5B,Ana Gracey,Like A Warrior
Like That,Jamaine Leone,4,120,,,02:41,81,68,8,0,84,0,10,-6,D,4,10B,Jamaine Leone,Like That
Singing With My Fingers,Stephen Todd,5,120,,,05:52,63,64,0,3,75,0,10,-13,D minor,4,7A,Stephen Todd,Singing With My Fingers
Baby Blue Clipz,Ill Smith,20,120,nu jazz,"Electronic, Jazz",02:55,54,65,3,0,29,20,10,-11,A,3,11B,Ill Smith,Baby Blue Clipz
Reign of Disease,Aegror,1,159,black metal,Metal,04:45,16,78,0,80,21,0,30,-9,F,4,7B,Aegror,Reign of Disease
Believe,Cher,83,133,,,03:59,65,92,1,0,46,0,0,-7,F#/G♭,4,2B,Cher,Believe
No Sleep for the Brave,Kaíyla,2,137,,,03:15,77,42,2,0,19,0,20,-12,F#/G♭ minor,4,11A,Kaíyla,No Sleep for the Brave
Kiss from a Rose,Seal,77,132,,,04:48,58,53,68,0,22,0,30,-7,A#/B♭ minor,3,3A,Seal,Kiss from a Rose
Empty Bottle Of Whiskey Dreams,Mark Cicero CZ,0,87,,,03:16,48,52,0,0,69,0,10,-13,B,4,1B,Mark Cicero CZ,Empty Bottle Of Whiskey Dreams
What's Up?,4 Non Blondes,84,134,,,04:55,56,56,16,0,45,0,10,-10,D,4,10B,4 Non Blondes,What's Up?
Go Head,"dykingz,Ayotrey",14,158,,,02:28,69,46,0,0,49,30,20,-9,C♯/D♭,4,3B,dykingz,Go Head
(I've Had) The Time Of My Life - theme from the motion picture  Dirty Dancing ,"Bill Medley,Jennifer Warnes",70,108,,,04:49,66,78,13,0,51,0,20,-11,F#/G♭ minor,4,11A,Bill Medley,(I've Had) The Time Of My Life
Don't give up,Drake Dowd,8,152,,,05:05,52,33,55,1,24,0,0,-15,G#/A♭,4,4B,Drake Dowd,Don't give up
What's Love Got to Do with It - 2015 Remaster,Tina Turner,72,98,,,03:50,86,48,25,0,80,0,10,-9,C♯/D♭,4,3B,Tina Turner,What's Love Got to Do with It
