#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
642,"Stolen Dance","Milky Chance",6,114,"","","Sadnecessary",2014-06-20,05:13,89,58,43,0,73,0,0,-9,B,4,2023-07-11,6vECYJHxYmm3Ydt3fF01pE,"Neon",1B,DEL211300741
643,"Sleepyhead","HARBOUR",39,108,"","","To Chase My Dreams, or to Just Lie Down?",2023-02-24,04:05,40,84,0,0,83,0,20,-5,F#/G♭,4,2023-07-11,0VacdTKLMNLqCbhAHe2SRT,"HARBOUR",2B,QZTPX2206203
644,"STAR-CROSSED","Ethan Gander",42,116,"","","STAR-CROSSED",2022-09-09,01:29,50,51,59,0,23,0,10,-10,D#/E♭,3,2023-07-11,3FQx9bh5i1dxdJQBLWxvxX,"Ethan Gander Music",5B,QZNWV2292819
645,"give up!","mazie",0,152,"","","blotter baby",2023-02-24,03:34,61,61,34,0,52,0,0,-8,E,4,2023-07-11,5j3fPWCzY7hrAEzoGHjKsZ,"Good Boy Records",12B,QZRYT2100063
646,"Abandoned Mansion","Dr. Dog",48,124,"","","Abandoned Mansion",2017-01-31,05:22,48,52,46,1,28,0,0,-8,A,4,2023-07-11,5jx534PdMJacYZ2PZ5unAP,"We Buy Gold Records",11B,TCACW1738376
647,"On Your Mind","Noah Floersch",0,125,"","","On Your Mind",2019-04-19,02:39,75,65,58,0,68,10,0,-8,G#/A♭,3,2023-07-11,4RPSs5aQymn0A5syaHE7VI,"Noah Floersch",4B,TCAEE1931521
648,"Annabeth","The Happy Return",21,151,"surf rock","Rock","Lunch Break",2020-12-10,03:39,47,54,21,0,46,0,10,-7,F,4,2023-07-11,5dHNqHMFpywXAj1aROa3hQ,"The Happy Return",7B,TCAFF2069551
649,"Too Close","Sir Chloe",66,166,"","","Party Favors",2020-10-23,02:50,42,56,17,0,54,0,10,-6,A,4,2023-07-11,7M6KOBCfPzWqbkiaXnm7bd,"Terrible Records",11B,QZFZ21909163
650,"Kill the Sun","Motherfolk",1,97,"","","Family Ghost",2019-11-01,03:28,50,79,9,0,42,0,20,-6,G,4,2023-07-11,34uXlhi3eN9jpO95CgeV0o,"Antifragile Music",9B,USHM81914548
651,"Boyfriend","Best Coast",49,115,"surf rock","Rock","Crazy for You",2010-07-27,02:29,26,88,9,15,61,0,10,-4,C,4,2023-07-11,37CA2be4dmNBDdf8tbZhv3,"Best Coast Recordings",8B,USMEX1000101
