#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
214,"Fire Burning","Sean Kingston",78,123,"","","Tomorrow",2009-09-07,03:59,84,80,2,0,89,0,30,-3,C♯/D♭,4,2022-10-01,2oENJa1T33GJ0w8dC167G4,"Epic/Beluga Heights",3B,USSM10902107
215,"Don't Wanna Go Home","Jason Derulo",67,122,"","","Future History (Deluxe Edition)",2011-09-16,03:26,67,81,2,0,64,0,10,-5,D minor,4,2022-10-01,1r3myKmjWoOqRip99CmSj1,"Beluga Heights/Warner Records",7A,USWB11101043
216,"TiK ToK","Kesha",87,120,"","","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D minor,4,2022-10-01,0HPD5WQqrq7wPWR7P7Dw1i,"RCA Records Label",7A,USRC10900433
217,"Where Have You Been","Rihanna",75,128,"","","Talk That Talk",2011-11-19,04:02,72,85,0,2,44,0,20,-6,C minor,4,2022-10-01,3tyPOhuVnt5zd5kGfxbCyL,"Def Jam Recordings",5A,USUM71118074
218,"Yeah 3x","Chris Brown",1,130,"r&b","R&B","F.A.M.E.",2011-03-22,04:01,71,89,0,0,66,0,0,-3,B minor,4,2022-10-01,5PypFTXJ4Ij2nMvxKRjjv2,"Jive",10A,USJI11000230
219,"Right Round (feat. Ke$ha)","Flo Rida,Kesha",58,129,"","","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,03:22,45,98,5,0,16,20,20,-3,G,4,2022-10-01,1GTC0gBd5B8YmVf3tRl9Ln,"Poe Boy/Atlantic",9B,USAT20900316
220,"Empire State Of Mind","JAY-Z,Alicia Keys",85,174,"hip hop, east coast hip hop, rap, r&b, neo soul","Hip Hop, R&B","The Blueprint 3",2009-09-08,04:36,49,96,3,0,81,30,40,-2,B,4,2022-10-01,2igwFfvr1OAGX9SKDCPBwO,"Roc Nation / Jay-Z",1B,USJZ10900031
221,"Rock DJ","Robbie Williams",74,103,"","","Sing When You're Winning",2000-01-01,04:18,71,77,3,0,86,0,40,-4,G,4,2022-10-01,4pbyDPjFgfPqFTcIMC8xpK,"Chrysalis UK",9B,GBAYK0000160
222,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",88,105,"r&b, crunk, southern hip hop","Hip Hop, R&B","Confessions (Expanded Edition)",2004-03-23,04:10,89,79,2,0,58,10,0,-5,D,4,2022-10-01,5rb9QrpfcKFHM1EUbSIurX,"LaFace Records",10B,USAR10301423
223,"In Da Club","50 Cent",84,90,"east coast hip hop","Hip Hop","Get Rich Or Die Tryin'",2003-02-06,03:13,90,71,26,0,78,30,0,-3,F#/G♭ minor,4,2022-10-01,7iL6o9tox1zgHpKUfh9vuC,"Shady Records",11A,USIR10300033
224,"Candy Shop","50 Cent,Olivia",82,125,"east coast hip hop, ","Hip Hop","The Massacre",2005-03-03,03:29,61,57,3,0,76,40,30,-8,B,5,2022-10-01,5D2mYZuzcgjpchVY1pmTPh,"Aftermath/Shady",1B,USIR10500072
225,"The Real Slim Shady","Eminem",87,105,"rap, hip hop","Hip Hop","The Marshall Mathers LP",2000-05-23,04:44,95,66,3,0,76,0,0,-4,F minor,4,2022-10-01,3yfqSUWxFvZELEM4PmlwIR,"Interscope",4A,USIR10000448
226,"Without Me","Eminem",89,112,"rap, hip hop","Hip Hop","The Eminem Show",2002-05-26,04:50,91,67,0,0,66,0,20,-3,G,4,2022-10-01,7lQ8MOhq6IN2w8EYcFNSUk,"Aftermath",9B,USIR10211038
227,"21 Questions","50 Cent,Nate Dogg",79,93,"east coast hip hop, g-funk, west coast hip hop","Hip Hop, R&B","Get Rich Or Die Tryin'",2003-02-06,03:44,65,81,35,0,90,30,0,-4,F#/G♭ minor,4,2022-10-01,70FCugJxa7XW04Np6iYJdI,"Shady Records",11A,USIR10300002
228,"Summer Nights - From “Grease”","John Travolta,Olivia Newton-John",75,124,"musicals, ","Classical, Easy Listening, Pop","Grease (The Original Motion Picture Soundtrack)",1978-04-04,03:36,75,66,62,0,61,0,0,-9,D,4,2022-10-01,2AVkArcfALVk2X8sfPRzya,"UMC (Universal Music Catalogue)",10B,NLF057890002
229,"Love Story","Taylor Swift",77,119,"","","Fearless (Big Machine Radio Release Special)",2008-11-11,03:56,62,74,13,0,31,0,0,-4,D,4,2022-10-01,1D4PL9B8gOg78jiHg3FvBb,"Big Machine Records, LLC",10B,USCJY0803275
230,"You Belong With Me","Taylor Swift",74,130,"","","Fearless (Big Machine Radio Release Special)",2008-11-11,03:52,69,75,18,0,44,0,10,-4,F#/G♭,4,2022-10-01,1GEBsLDvJGw7kviySRI6GX,"Big Machine Records, LLC",2B,USCJY0803328
231,"Nothin' on You (feat. Bruno Mars)","B.o.B,Bruno Mars",59,104,"","","B.o.B Presents: The Adventures of Bobby Ray",2010-04-27,04:28,69,85,39,0,74,0,0,-6,A#/B♭,4,2022-10-01,4X5xWMINgGA6l0GoyYkMcr,"Rebel Rock/Grand Hustle/Atlantic",6B,USAT20904033
232,"Baby Boy (feat. Sean Paul)","Beyoncé,Sean Paul",71,91,"dancehall","Reggae","Dangerously In Love",2003-06-24,04:04,66,49,8,0,79,20,20,-9,C♯/D♭,4,2022-10-01,4WY3HyGXsWqjFRCVD6gnTe,"Columbia",3B,USSM10305420
233,"Finders Keepers","Mabel,Kojo Funds",48,108,"afroswing, grime, afrobeats","R&B, Traditional Music, Hip Hop, Electronic","Finders Keepers",2017-03-10,04:31,85,57,5,0,64,0,0,-7,E minor,4,2022-10-01,06BD7TeUR6mYbF6cWyzvZt,"Polydor Records",9A,GBUM71700763
234,"Fine Line","Mabel,Not3s",57,115,"afroswing, grime","Hip Hop, R&B, Electronic","Ivy To Roses (Mixtape)",2019-01-18,03:31,57,62,23,0,93,10,0,-5,D#/E♭ minor,4,2022-10-01,4kLKUg9loAHamNWmSywA4H,"Polydor Records",2A,GBUM71704066
235,"Why'd You Only Call Me When You're High?","Arctic Monkeys",87,92,"indie, garage rock","Rock, Pop","AM",2013-09-09,02:41,69,63,5,0,80,0,10,-6,D,4,2022-10-02,086myS9r57YsLbJpU0TgK9,"Domino Recording Co",10B,GBCEL1300370
236,"I Wanna Be Yours","Arctic Monkeys",94,68,"indie, garage rock","Rock, Pop","AM",2013-09-09,03:03,46,42,14,2,48,0,10,-9,C minor,4,2022-10-02,5XeFesFbtLpXzIVDNQP22n,"Domino Recording Co",5A,GBCEL1300373
237,"The One That Got Away","Katy Perry",65,134,"pop","Pop","Teenage Dream",2010-01-01,03:47,69,80,0,0,88,0,10,-4,C♯/D♭ minor,4,2022-10-03,2k3MdyqMHmfZubFg3pmtby,"Capitol Records",12A,USCA21001266
238,"Suicidal (feat. Juice WRLD) - Remix","YNW Melly,Juice WRLD",75,140,"melodic rap, emo rap","Hip Hop, Rock","Suicidal (Remix) [feat. Juice WRLD]",2020-03-13,03:45,66,44,47,0,27,0,10,-5,A minor,4,2022-10-05,4S2uhQE8L9V6p7rj7SiauJ,"P2020",8A,QMCE32000089
239,"If We Ever Meet Again (Featuring Katy Perry)","Timbaland,Katy Perry",72,126,"pop","Pop","Shock Value II",2009-01-01,04:52,65,61,0,0,39,0,0,-7,G#/A♭,4,2022-11-23,360UM2DaiHZPRu0EsrOvMp,"Timbaland",4B,USUM70913828
240,"We Found Love","Rihanna,Calvin Harris",81,128,"edm","Electronic","Talk That Talk",2011-11-19,03:35,74,77,3,0,60,0,10,-4,C♯/D♭,4,2022-12-28,0U10zFw4GlBacOy9VDGfGL,"Def Jam Recordings",3B,USUM71115507
241,"Breaking Free","Troy,Gabriella,Disney",59,108,"","","High School Musical Original Soundtrack",2006-01-01,03:27,58,59,4,0,33,0,10,-6,C minor,4,2023-02-15,7gF9RfiO8nBhFhBkLuiUrb,"Parlophone Catalogue",5A,USWD10527742
242,"FourFiveSeconds","Rihanna,Kanye West,Paul McCartney",80,206,"rap, ","Hip Hop","FourFiveSeconds",2015-01-24,03:08,58,27,88,0,35,0,10,-6,D,4,2023-02-15,78TTtXnFQPzwqlbtbwqN0y,"Roc Nation / Rihanna",10B,USJMT1500001
243,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign,The Weeknd,Wiz Khalifa,Mustard",82,122,"rap, ","Hip Hop","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",2014-06-10,04:02,81,33,22,0,21,10,10,-9,C♯/D♭ minor,4,2023-02-15,7t2bFihaDvhIrd2gn2CWJO,"Atlantic Records",12A,USAT21401391
244,"Chasing The Sun","The Wanted",49,128,"","","Word Of Mouth (Deluxe)",2013-01-01,03:15,65,77,17,0,65,0,30,-6,G minor,4,2023-02-15,0j4kPncBrdidY9Mfl1eZ1d,"Universal-Island Records Ltd.",6A,GBUM71202710
