#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
403,"Have The Heart (Feat. Dolly Parton)","Post Malone,Dolly Parton",39,117,"country","Country","Have The Heart",2024-08-15,03:03,62,80,1,0,71,0,20,-3,A,4,2024-08-20,3SkbX1E9qYSJRI6QlpWutW,"Mercury Records/Republic Records",11B,USUM72405596
404,"Wonder","Megan Moroney",77,81,"country","Country","Wonder",2021-02-26,03:42,60,46,36,0,56,0,10,-8,G minor,4,2024-09-29,1z89jCXIK0JzyBtaa7Sn58,"Megan Moroney",6A,TCAFK2106981
405,"Third Time's the Charm","Megan Moroney",69,152,"country","Country","Am I Okay?",2024-07-12,03:51,44,71,8,0,45,0,10,-5,C,4,2024-09-29,3cHudlaM9wXHnk83WLlzBA,"Columbia Nashville/Columbia Records",8B,USQX92401668
406,"Heart Like A Truck","Lainey Wilson",78,140,"country","Country","Bell Bottom Country",2022-11-28,03:19,59,63,15,0,39,0,10,-5,A,4,2024-10-15,5DIBVDJOHh7djepAjKHWCO,"Broken Bow Records",11B,QMRSZ2200986
407,"Things A Man Oughta Know","Lainey Wilson",76,140,"country","Country","Sayin’ What I’m Thinkin’",2021-02-19,03:23,66,68,51,0,40,0,10,-6,D#/E♭,4,2024-10-16,3S0sk6DSTgesXsUSAEHNr5,"Broken Bow Records",5B,QMRSZ1901567
408,"Love Somebody","Morgan Wallen",88,122,"country","Country","Love Somebody",2024-10-18,03:24,62,84,1,0,75,0,10,-5,F minor,4,2024-10-21,7hR22TOX3RorxJPcsz5Wbo,"Big Loud Records / Mercury Records / Republic Records",4A,USUG12406387
409,"Boys Of Faith (feat. Bon Iver)","Zach Bryan,Bon Iver",59,200,"country, red dirt, indie folk","Country, Folk, Rock","Boys Of Faith",2023-09-22,02:50,30,58,39,0,16,0,0,-6,C♯/D♭,4,2024-10-21,6pRRHgDjfIGhTUCGlHX2p8,"Warner Records",3B,USWB12305748
410,"East Side of Sorrow","Zach Bryan",74,144,"country, red dirt","Country","Zach Bryan",2023-08-25,03:29,41,61,24,0,17,0,10,-7,A#/B♭,4,2024-10-21,00syWkRGIVQvYsg2OwfBUw,"Warner Records",6B,USWB12304896
411,"I Ain't Sayin'","Jordan Davis",77,77,"country","Country","I Ain't Sayin'",2024-07-26,02:54,61,91,45,0,92,0,10,-5,G#/A♭,4,2024-10-23,7lCs3stpWCtAn5Y2lmnPhV,"MCA Nashville",4B,USUM72408405
412,"MESSED UP AS ME","Keith Urban",55,105,"country","Country","MESSED UP AS ME",2024-03-01,03:16,63,64,18,0,45,0,30,-6,G,4,2024-10-23,4Znwf3U6xJsQrj0UveLpOx,"Capitol Records Nashville",9B,USUG12400867
413,"White Horse","Chris Stapleton",73,145,"country","Country","White Horse",2023-07-21,04:27,35,77,0,60,22,0,10,-11,C♯/D♭ minor,4,2024-10-23,7MSWxMumjz6lHj7oRApNbg,"Mercury Nashville",12A,USUG12300484
414,"God Speed - Live","Zach Bryan",53,81,"country, red dirt","Country","All My Homies Hate Ticketmaster (Live from Red Rocks)",2022-12-25,04:14,37,70,57,0,20,0,90,-5,C,4,2024-10-25,5NuSj7dx2yt34dDGqnSqvA,"Warner Records",8B,USWB12207878
415,"Make Me Wanna","Thomas Rhett",77,109,"country, acoustic country, pop country","Country, Folk, Pop","It Goes Like This",2013-01-01,03:45,55,82,4,0,68,0,10,-6,A,3,2024-10-31,69DR48pXzSabFUfQfDDJDb,"The Valory Music Co., LLC",11B,USLXJ1307066
416,"Springsteen","Eric Church",82,104,"country, acoustic country","Country, Folk","Chief",2011-01-01,04:23,69,81,10,0,93,0,10,-6,D,4,2024-10-31,05ZACkzW8YbRq3eFgIfSNB,"EMI Records Nashville",10B,USCN11100116
417,"Barefoot Blue Jean Night","Jake Owen",78,172,"country, acoustic country","Country, Folk","Barefoot Blue Jean Night",2011-08-26,02:47,60,81,20,0,81,0,20,-5,E,4,2024-11-07,3ts6xK5GzfMAAriT9AIBmP,"RCA Records Label Nashville",12B,USRN11100006
418,"Parachute","Chris Stapleton",80,113,"country","Country","Traveller",2015-05-04,04:13,64,76,1,0,61,0,10,-7,F#/G♭,4,2024-11-12,5jROdl6MhcmP3O7h2sVgtw,"Mercury Nashville",2B,USUM71418084
419,"Think I'm In Love With You","Chris Stapleton",82,92,"country","Country","Higher",2023-11-10,03:42,67,42,19,22,61,0,10,-14,F#/G♭ minor,4,2024-11-12,3Gn1zuHNLtGuGEOXwq0k7e,"Mercury Nashville",11A,USUG12300474
420,"I'm Gonna Love You","Cody Johnson,Carrie Underwood",72,134,"texas country, country, red dirt","Country","I'm Gonna Love You",2024-09-27,03:08,55,49,36,0,31,0,10,-6,D#/E♭ minor,4,2024-11-21,6dayCflQl0ISXwZs6GBygC,"CoJo Music/Warner Music Nashville",2A,QMCQK1900370
421,"What Am I Gonna Do","Chris Stapleton",69,126,"country","Country","Higher",2023-11-10,03:01,62,51,38,0,45,0,10,-9,C,4,2024-11-21,4DYVmGdpglpFoq1YyawFCl,"Mercury Nashville",8B,USUG12300483
422,"Die A Happy Man","Thomas Rhett",78,166,"country, acoustic country, pop country","Country, Folk, Pop","Tangled Up",2015-01-01,03:47,60,39,42,0,40,0,10,-9,D,4,2024-11-25,5kNe7PE09d6Kvw5pAsx23n,"The Valory Music Co., LLC",10B,USLXJ1507199
423,"Cold","Chris Stapleton",63,117,"country","Country","Cold",2020-09-25,05:09,56,51,5,0,29,0,10,-7,C♯/D♭ minor,4,2024-11-27,0O5DPkLlre5yNwH6Sqm2dD,"Mercury Nashville",12A,USUM72013804
424,"Smile","Morgan Wallen",82,126,"country","Country","Smile",2024-12-31,03:44,50,22,94,0,40,0,0,-11,B,4,2025-01-24,3MJ6lFNV12FSHAOzTzkwxz,"Big Loud Records / Mercury Records / Republic Records",1B,USUG12408922
