#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
166,"Verify (feat. Young Thug, Gunna)","Jacquees,Young Thug,Gunna",49,85,"r&b, rap, melodic rap, trap","Hip Hop, R&B","King of R&B",2019-11-08,02:43,53,63,3,0,28,10,0,-5,C♯/D♭,4,2019-12-31,1aWu9UgVzG5EKeFCP49Spj,"Cash Money Records Inc.",3B,USCM51900385
167,"FYT (with French Montana)","Jeremih,Ty Dolla $ign,French Montana",45,89,"","","MIH-TY",2018-10-26,04:05,66,45,4,0,55,0,30,-9,C♯/D♭ minor,4,2020-01-04,0ZwHNhwxDhUYHYkSkHxMf0,"Def Jam Recordings./ Atlantic Recording Corporation",12A,USUM71817301
168,"Here I Am","Rick Ross,Nelly,Avery Storm",1,110,"southern hip hop, ","Hip Hop","Trilla",2008-01-01,03:29,75,72,19,0,48,10,0,-6,A#/B♭ minor,4,2020-01-14,67yGTWcR72BZvsrSS2dHST,"Def Jam Recordings",3A,USUM70764319
169,"Body","Summer Walker",72,138,"r&b","R&B","Over It",2019-10-04,03:13,56,51,25,0,34,10,20,-6,B minor,4,2020-01-21,7vxLj7MREliG5i5vSnqSVr,"LVRN/Interscope Records",10A,USUM71919084
170,"Drunk Dialing...LODT","Summer Walker",58,126,"r&b","R&B","Over It",2019-10-04,02:14,56,44,60,0,11,10,20,-7,A,3,2020-01-21,0pzWCDSuVRX7m95EFOxVa0,"LVRN/Interscope Records",11B,USUM71919086
171,"Time (feat. Roddy Ricch)","Fabolous,Roddy Ricch",46,176,"melodic rap","Hip Hop","Summertime Shootout 3: Coldest Summer Ever",2019-11-29,03:40,45,61,51,0,43,30,20,-7,F#/G♭,4,2020-01-28,3Hx8hoMtBcIj2vbS9hCOvy,"Def Jam Recordings",2B,USUM71923153
172,"1Hunnid","K CAMP,Fetty Wap",57,88,"","","Only Way Is Up (Deluxe)",2014-09-04,03:35,79,41,9,0,46,10,10,-12,E,4,2020-02-12,4immekPm8Har57BB9DcDSj,"Family Ties / Interscope",12B,USUM71510082
173,"Blessing","K CAMP",45,126,"","","In Due Time",2014-04-22,02:48,62,40,28,0,22,0,10,-11,A minor,4,2020-02-12,49ONd7q61KYjSZE0A8gtCW,"Family Ties / Interscope",8A,USUM71404648
174,"Tell Em","Rich Homie Quan",54,91,"southern hip hop","Hip Hop","Rich Homie Cartel Vol 1",2014-12-09,04:03,53,63,1,0,30,10,60,-8,F#/G♭,4,2020-02-12,1EqTGC1pfGHm4zCxgxPmL3,"Richhomiezent",2B,QM6MZ1467191
175,"DnF (feat. Drake & Future)","Preme,Drake,Future",54,77,"rap","Hip Hop","Dear America",2014-09-09,03:25,71,60,8,0,55,30,30,-7,C minor,4,2020-02-12,5EMKS6mLi4JprJxy8IGdhT,"Reps/RCA Records",5A,USRC11401841
176,"The Body (feat. Jeremih)","Wale,Jeremih",56,109,"","","The Album About Nothing",2015-03-31,03:52,49,54,8,0,17,0,20,-8,A,4,2020-02-12,1cOi4OoRlpOznxiRa8FfHf,"MMG/Atlantic",11B,USAT21403985
177,"Comfortable","K CAMP",64,110,"","","Only Way Is Up (Deluxe)",2014-09-04,03:31,77,41,72,0,63,0,10,-9,G minor,4,2020-02-13,2BqQQXuBOuhaWeUP7okEx0,"Family Ties / Interscope",6A,USUM71507562
178,"Ice Cold","K CAMP",38,118,"","","Ice Cold",2019-12-13,03:15,94,42,8,0,60,10,10,-6,C♯/D♭,4,2020-02-16,7COMLGV3dJFiReMNUedpQj,"RARE Sound / Interscope / EMPIRE",3B,USUYG1285692
