#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time ,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
448,"Break Your Heart","Taio Cruz,Ludacris",72,122,"southern hip hop","Hip Hop","Rokstarr",2010-01-01,03:06,67,90,0,0,62,0,0,-5,G#/A♭,4,2019-11-22,1CdqVF1ywD0ZO1zXtB9yWa,"Universal-Island Records Ltd.",4B,GBUM71003723
449,"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",65,152,"emo, pop punk, emo pop","Rock, Pop","Save Rock And Roll",2013-04-12,03:06,56,92,3,0,57,0,50,-4,A minor,4,2019-12-28,7s0lDK7y3XLmI7tcsRAbW0,"Island Records",8A,USUM71300299
450,"Watch Me (Whip / Nae Nae)","Silentó",68,140,"","","Watch Me (Whip / Nae Nae)",2015-05-04,03:05,82,76,25,0,96,10,30,-9,G#/A♭,4,2019-11-22,5RIVoVdkDLEygELLCniZFr,"Capitol Records (US1A)",4B,USUM71506622
451,"Cold Water","Major Lazer,Justin Bieber,MØ",71,93,"moombahton, ","Electronic, Latin","Cold Water",2016-07-22,03:05,61,80,7,0,50,0,10,-5,F#/G♭ minor,4,2019-12-28,7zsXy7vlHdItvUSH8EwQss,"Mad Decent PS (Bieber/Major Lazer)",11A,QMUY41600027
452,"The Middle","Zedd,Maren Morris,Grey",81,107,"edm, country, ","Country, Electronic","The Middle",2018-01-23,03:04,75,66,17,0,44,0,10,-3,G,4,2019-11-22,09IStsImFySgyp0pIQdqAc,"UMGRI Interscope",9B,USUM71800463
453,"Mo Bamba","Sheck Wes",77,146,"","","MUDBOY",2018-10-05,03:03,73,63,19,1,26,0,20,-5,E,4,2019-12-28,1xzBco0xcoJEDXktl7Jxrr,"Cactus Jack Records/ G.O.O.D. Music/ Interscope Records",12B,QM24S1703585
454,"Money","Cardi B",73,130,"","","Money",2018-10-23,03:03,95,59,1,0,22,20,10,-7,G#/A♭ minor,4,2019-12-28,2GGMabyHXnJmjY6CXhhB2e,"Atlantic/KSR",1A,USAT21811495
455,"XO Tour Llif3","Lil Uzi Vert",82,155,"melodic rap","Hip Hop","Luv Is Rage 2",2017-08-25,03:02,73,75,0,0,40,20,10,-6,B minor,4,2019-12-28,7GX5flRQZVHRAGd6B4TmDO,"Generation Now/Atlantic",10A,USAT21703440
456,"Someone You Loved","Lewis Capaldi",88,110,"soft pop","Pop","Divinely Uninspired To A Hellish Extent",2019-05-17,03:02,50,41,75,0,45,0,10,-6,C♯/D♭,4,2019-12-28,7qEHsqek33rTcFNT9PFqLf,"Vertigo Berlin",3B,DEUM71807062
457,"Lips Are Movin","Meghan Trainor",70,139,"","","Title (Deluxe)",2015-01-12,03:02,78,83,5,0,95,0,10,-5,G,4,2019-12-28,6gj08XDlv9Duc2fPOxUmVD,"Epic",9B,USSM11408349
